Crohn's Disease , ITF2357 , Italfarmaco ,20-Oct-07, Phase 1 , Terminated\,,,, 
 Crohn's Disease , mobilization of stem cells to prepare for Leukapheresis , Nationwide Children's Hospital ,20-Apr-13, October 2009 , Phase 2 , Completed\,,,
 Crohn's Disease , G-CSF , National Institute of Allergy and Infectious Diseases (NIAID) ,20-Oct-01, Phase 2 , Terminated\,,,,
 Alzheimer's Disease , ABT-957 , AbbVie ,20-Sep-14, Phase 1 , Completed\,,,,
 Alzheimer's Disease , ABT-354 , AbbVie , July 2013 , Phase 1 , Terminated\,,,,
 Glycogen Storage Disease Type II , Myozyme , Genzyme, a Sanofi Company , Phase 1 , Completed\,,,,
 Crohn's Disease , CT-P13 , Celltrion , July 2014 , June 2005 , Phase 2 , Completed\,,,
 Parkinson Disease , active tDCS , National Cheng-Kung University Hospital ,20-Aug-15, Phase 3 , Active, not recruiting\,,,
 Crohn's Disease , Cimzia , Milton S. Hershey Medical Center ,20-Feb-13, Phase 1 , Active, not recruiting\,,,
 Parkinson's Disease , AAV-hAADC-2 , Genzyme, a Sanofi Company , Phase 4 , Terminated\,,,,
 Alzheimer's Disease , PF-04360365 , Pfizer ,20-Mar-10, November 2004 , Phase 1 , Completed\,,,
 Renal Disease , 200 mg Ceftaroline fosamil , AstraZeneca ,20-Feb-13, Phase 1 , Completed\,,,,
 Fabry Disease , Agalsidase beta , Genzyme, a Sanofi Company , Phase 1 , Completed\,,,,
 Cardiovascular Diseases , Minimal intervention , University of Iowa ,20-Mar-08, July 2005 , Phase 4 , Completed\,,,
 Crohn Disease , Mesenchymal stromal cells (MSC) for infusion , R.P.Herrmann ,20-Jan-10, Phase 3 , Completed\,,,,
 Graft-Versus-Host Disease , Pentostatin , Ohio State University Comprehensive Cancer Center , July 2003 , Phase 2 , Completed\,,,,
 Anemia, Sickle Cell , Magnesium Pidolate, Hydroxyurea , Phase 2 , Completed\,,,,
 Kidney Disease, Chronic , Methoxy polyethylene glycol-epoetin beta , Hoffmann-La Roche , St. Jude Children's Research Hospital , November 2004 , Phase 1 , Completed\,,
 Chronic Obstructive Pulmonary Disease , Metformin , St George's, University of London , September 2010 , Phase 2 , Completed\,,,
 Parkinson's Disease , carbidopa and levodopa , IMPAX Laboratories, Inc. , January 2011 , Phase 4 , Completed\,,,
 Crohn Disease , Infliximab , Groupe d'Etude Therapeutique des Affections Inflammatoires Digestives ,20-Dec-05, November 2015 , Phase 2 , Active, not recruiting\,,
 Mild-to-moderate Alzheimer's Disease , SB-742457 15mg , GlaxoSmithKline , July 2008 , Phase 3 , Completed\,,,,
 Parkinson Disease , Phoressor II (IOMED) , National Institute of Neurological Disorders and Stroke (NINDS) ,20-Mar-03, Phase 2 , Completed\,,,,
 Diabetes Mellitus Type 2, Kidney Disease, Chronic , Aleglitazar , Phase 2 , Completed\,,,,
 Parkinson's Disease , Safinamide , Newron , June 2005 , Hoffmann-La Roche , December 2013 , Phase 3 , Withdrawn\,,
 Mild Cognitive Impairment Due to Alzheimer's Disease , Pioglitazone , Takeda ,20-Aug-13, Phase 3 , Completed\,,,,
 Idiopathic Parkinson's Disease , Safinamide , Newron ,20-Dec-04, Phase 3 , Active, not recruiting\,,,
 Chronic Kidney Disease , Placebo , Mitsubishi Tanabe Pharma Corporation , July 2007 , Phase 3 , Completed\,,,,
 Smoking Cessation , High intensity disease management , University of Kansas Medical Center , June 2009 , Phase 3 , Completed\,,,,
 Idiopathic Parkinson's Disease , Istradefylline 40 mg , Kyowa Hakko Kirin Pharma, Inc. , Phase 3 , Completed\,,,,
 Peripheral Arterial Disease , dark chocolate with crossover to milk chocolate , University of Roma La Sapienza ,20-Oct-10, October 2013 , Phase 3 , Active, not recruiting\,,
 Alzheimer Disease , Placebo , Wyeth is now a wholly owned subsidiary of Pfizer ,20-Aug-08, Phase 1 , Completed\,,,,
 Impulse Control Disorder , Naltrexone , University of Pennsylvania ,20-Nov-09, Phase 1 , Terminated\,,,,
 Coronary Artery Disease , E5555 50 mg , Eisai Co., Ltd. , Phase 4 , Completed\,,,,
 Alzheimers Disease , 123-I MNI-187 Injection and Imaging Procedures , Institute for Neurodegenerative Disorders ,20-Apr-07, October 2007 , Phase 2 , Completed\,,,
 Alzheimer's Disease , SRA-333 , Wyeth is now a wholly owned subsidiary of Pfizer ,20-Feb-05, Phase 1 , Completed\,,,,
 Crohn's Disease , GSK1605786A , GlaxoSmithKline ,20-May-11, Phase 2 , Completed\,,,,
 Parkinson Disease , Magstim Rapid Magnetic Stimulator , National Institute of Neurological Disorders and Stroke (NINDS) , June 2003 , Phase 3 , Terminated\,,,,
 Parkinson's Disease , TVP-1012 , Takeda ,20-Feb-15, Phase 1 , Completed\,,,,
 Parkinson Disease , B-CIT and SPECT imaging , Institute for Neurodegenerative Disorders ,20-Nov-06, Phase 3 , Completed\,,,,
 Alzheimer's Disease , PF-04360365 1 mg/kg , Pfizer ,20-Aug-08, Phase 2 , Completed\,,,,
 Graft Versus Host Disease , Ibrutinib , Pharmacyclics LLC. , July 2014 , Phase 1 , Completed\,,,,
 Idiopathic Parkinson's Disease , CERE-120: Adeno-Associated Virus Delivery of Neurturin , Ceregene ,20-Sep-09, Phase 1 , Active, not recruiting\,,,
 Graft Versus Host Disease , beclomethasone dipropionate , Memorial Sloan Kettering Cancer Center ,20-Apr-02, Phase 1 , Active, not recruiting\,,,
 Congenital Heart Disease , Motavizumab , MedImmune LLC ,20-Oct-05, Phase 3 , Completed\,,,,
 Treatment of Dry Eye Disease , Restasis, Refresh Plus , Innovative Medical , Phase 2 , Completed\,,,,
 Crohn's Disease , Adalimumab , AbbVie ,20-Dec-13, November 2007 , Phase 4 , Completed\,,,
 Crohn's Disease , Infliximab , Merck Sharp & Dohme Corp. ,20-Nov-03, Phase 2 , Completed\,,,,
 Inflammatory Bowel Disease , Low dose naltrexone , Santa Barbara Cottage Hospital ,20-Mar-13, Phase 3 , Terminated\,,,,
 Sickle Cell Disease , Hydroxyurea , Ann & Robert H Lurie Children's Hospital of Chicago , July 2006 , Phase 2 , Withdrawn\,,,,
 Huntington's Disease , coenzyme Q10 , Massachusetts General Hospital ,20-Mar-08, Phase 1 , Terminated\,,,,
 Paget's Disease of Bone , alendronate , Merck Sharp & Dohme Corp. ,20-Oct-01, Phase 3 , Terminated\,,,,
 Parkinson's Disease , Multidisciplinary Care , Radboud University ,20-Aug-07, Phase 3 , Completed\,,,,
 Alzheimer Disease , galantamine hydrobromide , Johnson & Johnson Pharmaceutical Research & Development, L.L.C. , Phase 3 , Completed\,,,,
 Parkinson Disease , CoQ10 , University of Rochester ,20-Jan-04, July 1997 , Phase 3 , Completed\,,,
 Parkinson's Disease , apomorphine hydrochloride , Kyowa Hakko Kirin Company, Limited , Phase 2 , Completed\,,,,
 Crohn's Disease , E6011 , Eisai Inc. ,20-Dec-14, November 2007 , Phase 2 , Completed\,,,
 Parkinson's Disease , Rasagiline , University of Zurich ,20-Sep-11, Phase 1 , Withdrawn\,,,,
 Celiac Disease , AGY , Igy Inc. ,20-May-14, Phase 4 , Terminated\,,,,
 Parkinson's Disease , BF2.649 (pitolisant) , Bioprojet ,20-Dec-09, Phase 1 , Completed\,,,,
 Parkinson Disease , Liraglutide , Cedars-Sinai Medical Center ,20-Sep-16, Phase 3 , Completed\,,,,
 Huntington's Disease , delta-9-tetrahydrocannabinol (THC) and cannabidiol (CBD) , Fundacion para la Investigacion Biomedica del Hospital Universitario Ramon y Cajal ,20-Sep-11, Phase 2 , Active, not recruiting\,,,
 Crohn\'b4s Disease , Pentasa , Ferring Pharmaceuticals ,20-Apr-09, Phase 2 , Completed\,,,,
 Parkinson Disease , sumanirole , Pfizer ,20-Apr-03, Phase 3 , Terminated\,,,,
 Parkinson Disease , pramipexole immediate release tablet , Boehringer Ingelheim ,20-Aug-10, Phase 3 , Completed\,,,,
 Parkinson Disease , bee venom , Assistance Publique - H\'f4pitaux de Paris ,20-Mar-11, Phase 3 , Completed\,,,,
 Alzheimer's Disease , PPI-1019 (APAN) , PRAECIS Pharmaceuticals Inc. ,20-May-03, Phase 2 , Completed\,,,,
 Coronary Artery Disease , Clopidogrel , Takeshi Morimoto ,20-Feb-10, Phase 1 , Completed\,,,,
 Kidney Disease , Zemplar Capsule , Abbott ,20-Aug-04, Phase 4 , Completed\,,,,
 Autoimmune Disease , Enteric-coated Mycophenolate Sodium , Novartis Pharmaceuticals , June 2006 , Phase 3 , Completed\,,,,
 Parkinson Disease , sumanirole , Pfizer ,20-Dec-01, Phase 3 , Completed\,,,,
 Inflammatory Bowel Disease , Monofer (iron isomaltoside 1000) , Pharmacosmos A/S ,20-Feb-12, Phase 3 , Completed\,,,,
 Alzheimer's Disease , AC-1204 , Accera, Inc. , Phase 1 , Completed\,,,,
 Chronic Kidney Disease , Placebo , Mitsubishi Tanabe Pharma Corporation , July 2007 , March 2013 , Phase 2 , Active, not recruiting\,,
 Crohn's Disease , AMG 181 , Amgen ,20-Dec-12, Phase 3 , Completed\,,,,
 Jansky-Bielschowsky Disease , BMN 190 , BioMarin Pharmaceutical ,20-Sep-13, Phase 2 , Active, not recruiting\,,,
 Huntington's Disease , PF-02545920 , Pfizer ,20-Sep-13, Phase 1 , Completed\,,,,
 Chronic Obstructive Pulmonary Disease (COPD) , Bone marrow harvesting , UPECLIN HC FM Botucatu Unesp ,20-Apr-15, Phase 2 , Completed\,,,,
 Alzheimer's Disease , Bryostatin for Injection , Blanchette Rockefeller Neurosciences Insitute ,20-Apr-08, Phase 1 , Enrolling by invitation\,,,,
 Adult-Onset Still's Disease , anakinra , Helsinki University ,20-Dec-05, Phase 2 , Unknown status\,,,,
 Non-Alcoholic Fatty Liver Disease , OMACOR , University Hospital Southampton NHS Foundation Trust ,20-Nov-09, Phase 2 , Unknown status\,,,,
 Rheumatoid Arthritis , infliximab , Merck Sharp & Dohme Corp. , June 2007 , Phase 2 , Active, not recruiting\,,,
 Alzheimer's Disease , CAD106 , Novartis Pharmaceuticals , June 2005 , Phase 3 , Terminated\,,,,
 Crohn's Disease , ALX-0600 , Shire ,20-Oct-03, Phase 1 , Completed\,,,,
 Graft Versus Host Disease , Bortezomib , University of California, Davis , Phase 2 , Completed\,,,,
 Parkinson Disease , N-acetylcysteine , Weill Medical College of Cornell University ,20-Jan-12, July 2012 , Phase 1 , Active, not recruiting\,,
 Alzheimer's Disease , DHA (Docosahexaenoic Acid) , Alzheimer's Disease Cooperative Study (ADCS) ,20-Feb-07, Phase 1 , Completed\,,,,
 Parkinson's Disease , MK0657 , Merck Sharp & Dohme Corp. ,20-May-07, Phase 3 , Completed\,,,,
 Parkinson Disease , Preladenant 2 mg tablet , Merck Sharp & Dohme Corp. , July 2010 , Phase 1 , Completed\,,,,
 Hodgkin's Disease , MDX-060 , Bristol-Myers Squibb ,20-Nov-05, Phase 3 , Completed\,,,,
 Granulomatous Disease, Chronic, X-linked, Variant , Phase 2 , Completed\,,,,
 Crohn's Disease , Cx601 , TiGenix S.A.U. , July 2012 , pCCLchimGp91s lentiviral vector transduced CD34+ cells infusion , Great Ormond Street Hospital for Children NHS Foundation Trust , November 2011 , Phase 1 , Withdrawn\,
 Immunogenicity and Adverse Drug Effect of Vaccines Influenza , Seasonal influenza vaccine (AdimFlu-S) , National Cheng-Kung University Hospital ,20-Oct-13, Phase 3 , Active, not recruiting\,,,
 Alzheimer's Disease , T-817MA-H , Toyama Chemical Co., Ltd. , Phase 4 , Unknown status\,,,,
 Diagnostic Imaging , BAY1006578 , Piramal Imaging SA , June 2010 , March 2014 , Phase 2 , Active, not recruiting\,,
 Chronic Kidney Disease , Valsartan , Chinese PLA General Hospital ,20-Nov-14, Phase 1 , Completed\,,,,
 Congenital Heart Disease , Vasovist , Guy's Hospital ,20-Mar-07, Phase 4 , Unknown status\,,,,
 Crohn's Disease , Trichuris suis ova , Coronado Biosciences, Inc. , Phase 4 , Unknown status\,,,,
 Chronic Obstructive Pulmonary Disease (COPD) , NVA237 100 \'b5g , Novartis ,20-Aug-07, November 2011 , Phase 1 , Completed\,,,
 Chronic Kidney Disease Stage 3 and 4 , Zemplar (paricalcitol) Capsules , AbbVie (prior sponsor, Abbott) , Phase 2 , Completed\,,,,
 Parkinson's Disease Psychosis , pimavanserin tartrate (ACP-103) , ACADIA Pharmaceuticals Inc. , July 2007 , February 2010 , Phase 3 , Completed\,,,
 Alzheimer's Disease , escitalopram , Konkuk University Medical Center ,20-Nov-11, Phase 3 , Active, not recruiting\,,,
 Alzheimer Disease , bapineuzumab , Pfizer ,20-Jan-08, Phase 4 , Completed\,,,,
 Sickle Cell Disease , Arginine , Emory University ,20-May-15, Phase 3 , Terminated\,,,,
 Parkinson's Disease , blood draw , Howard Gendelman, MD , Phase 1 , Enrolling by invitation\,,,,
 Alzheimer's Disease , Placebo , Hoffmann-La Roche ,20-May-09, September 2013 , Phase 1 , Completed\,,,
 Alzheimer Disease , galantamine hydrobromide , Johnson & Johnson Pharmaceutical Research & Development, L.L.C. , Phase 2 , Completed\,,,,
 Lymphoproliferative Disorder , rituximab , Children's Oncology Group ,20-Apr-04, March 2001 , Phase 3 , Completed\,,,
 Vascular Disease , Verbal and written information , Mid Western Regional Hospital, Ireland , Phase 2 , Active, not recruiting\,,,
 Osgood-Schlatter Disease , Dextrose Injection , Universidad Nacional de Rosario ,20-Jan-06, May 2013 , Phase 2 , Completed\,,,
 Alzheimer's Disease , Aricept (donepezil SR 23 mg) , Eisai Inc. , June 2007 , Phase 1 , Completed\,,,,
 Alzheimer Disease , galantamine hydrobromide , Johnson & Johnson Pharmaceutical Research & Development, L.L.C. , Phase 3 , Completed\,,,,
 Alzheimer Disease , galantamine hydrobromide , Johnson & Johnson Pharmaceutical Research & Development, L.L.C. , November 10,2005, Phase 3 , Completed\,,
 Alzheimer's Disease , ABT-089 , Abbott ,20-Nov-07, February 1997 , Phase 3 , Completed\,,,
 Alzheimer Disease , bapineuzumab , Pfizer , June 2008 , Phase 2 , Terminated\,,,,
 Advanced Parkinson's Disease , Rotigotine , UCB BIOSCIENCES GmbH ,20-Oct-12, Phase 3 , Terminated\,,,,
 Chronic Obstructive Pulmonary Disease , MEDI8968 SC for 12 months , MedImmune LLC ,20-Nov-11, Phase 3 , Completed\,,,,
 Parkinson's Disease , Preladenant , Merck Sharp & Dohme Corp. ,20-Feb-11, Phase 2 , Completed\,,,,
 Alzheimer Disease , Estrogen , National Institute on Aging (NIA) ,29-Oct, Phase 2 , Completed\,,,,
 Alzheimer's Disease , MRI , Merck Sharp & Dohme Corp. ,20-Sep-08,1999, Phase 3 , Completed\,,,
 Alzheimer Disease , Atorvastatin calcium , Institute for the Study of Aging (ISOA) ,20-Oct-00, Phase 1 , Completed\,,,,
 Alzheimer's Disease , Rosiglitazone (Extended Release) , GlaxoSmithKline ,20-Apr-08, Phase 2 , Completed\,,,,
 Parkinson Disease , SR57667B , Sanofi , July 2003 , Phase 1 , Completed\,,,,
 Relapsed Multiple Myeloma , Carfilzomib , Onyx Therapeutics, Inc. , Phase 2 , Completed\,,,,
 Parkinson's Disease , Physical therapy aimed to move safely , Radboud University ,20-Sep-08, January 2014 , Phase 1 , Active, not recruiting\,,
 Crohn's Disease , Alequel , Hadassah Medical Organization ,20-Jan-08, Phase 3 , Completed\,,,,
 Coronary Artery Disease , Bradykinin , Vanderbilt University ,20-Dec-03, Phase 1 , Completed\,,,,
 Anxiety Disorders , Single Diagnosis Treatment Protocol , Boston University ,20-Dec-10, Phase 1 , Enrolling by invitation\,,,,
 Parkinson's Disease , PET/CT , Asan Medical Center ,20-Nov-06, Phase 3 , Active, not recruiting\,,,
 Crohn's Disease , PF-04236921 SC injection , Pfizer ,20-Feb-11, Phase 3 , Completed\,,,,
 Alzheimer's Disease , PF-03654746 , Pfizer ,20-Dec-09, Phase 2 , Completed\,,,,
 Parkinson Disease , Isradipine CR 5mg , Northwestern University , July 2009 , Phase 1 , Terminated\,,,,
 Parkinson's Disease , Memantine , Baylor College of Medicine ,20-Apr-06, Phase 2 , Completed\,,,,
 Parkinson's Disease , Light box (Litebook company) , McGill University Health Center ,20-Jan-11, Phase 4 , Completed\,,,,
 Peripheral Arterial Disease , Dotarem , Guerbet ,20-Oct-09, Phase 0 , Completed\,,,,
 Chronic Granulomatous Disease , Gene Therapy Method for CGD , National Institute of Allergy and Infectious Diseases (NIAID) , June 1995 , Phase 4 , Completed\,,,,
 Chronic Kidney Disease , Tolvaptan (OPC-41061) , Otsuka Pharmaceutical Development & Commercialization, Inc. , Phase 1 , Completed\,,,,
 Dry Eye Disease , P-321 Ophthalmic Solution , Parion Sciences , July 2014 , May 2014 , Phase 3 , Active, not recruiting\,,
 Thyroid Diseases , chinese herbs-I , Tianjin Medical University Cancer Institute and Hospital , June 2012 , Phase 1 , Completed\,,,,
 Crohn's Disease , cannabidiol , Meir Medical Center ,20-Jan-10, Phase 1 , Unknown status\,,,,
 Parkinson's Disease , Rotigotine , UCB Pharma ,20-Dec-04, Phase 1 , Completed\,,,,
 Crohn Disease , infliximab or placebo , Centocor, Inc. , Phase 3 , Completed\,,,,
 Hodgkin's Disease , lenograstim , WiSP Wissenschaftlicher Service Pharma GmbH ,20-May-03, June 2000 , Phase 3 , Completed\,,,
 Graft vs Host Disease , Extracorporeal Photopheresis , National Institute of Allergy and Infectious Diseases (NIAID) ,20-Nov-02, Phase 2 , Completed\,,,,
 Chagas Disease , Benznidazole , Drugs for Neglected Diseases ,20-Apr-11, Phase 2 , Completed\,,,,
 Parkinson Disease , Intravenous Levodopa , National Institute of Neurological Disorders and Stroke (NINDS) ,20-Aug-04, Phase 4 , Unknown status\,,,,
 Chronic Kidney Disease , Intravenous injection , Royan Institute ,20-Apr-14, Phase 2 , Completed\,,,,
 Parkinson's Disease Psychosis , Pimavanserin tartrate (ACP-103) , ACADIA Pharmaceuticals Inc. , June 2007 , Phase 1 , Completed\,,,,
 Gaucher Disease, Type 1 , GA-GCB (velaglucerase alfa) , Shire , Phase 3 , Completed\,,,,
 Crohn's Disease , Azithromycin + Metronidazole , Prof. Arie Levine ,20-Oct-12, July 2007 , Phase 2 , Completed\,,,
 Lesch-Nyhan Disease , Ecopipam , Psyadon Pharma ,20-Dec-12, Phase 4 , Completed\,,,,
 Celiac Disease , Gluten challenge. , Oslo University Hospital ,20-Sep-06, Phase 3 , Terminated\,,,,
 Alzheimer's Disease , PF-04447943 , Pfizer ,20-Oct-09, Phase 2 , Completed\,,,,
 Lyme Disease , Antibiotics , National Institute of Allergy and Infectious Diseases (NIAID) ,2-Nov, Phase 1 , Completed\,,,,
 Coronary Disease , Evidence summaries endorsed by local opinion leaders , University of Alberta ,20-Mar-05,1999, Phase 3 , Completed\,,,
 Pompe Disease , Albuterol , Duke University , June 2012 , Phase 4 , Completed\,,,,
 Parkinson's Disease , carbidopa, levodopa, entacapone , Phase 1 , Completed\,,,,
 Alzheimer Disease , Naproxen , Douglas Mental Health University Institute ,20-Aug-12, Novartis , July 2005 , Phase 4 , Completed\,,
 Hepatic Veno-Occlusive Disease , Freeze-dried Concentrated Human Antithrombin \uc0\u8546  500 IU , Seoul National University Hospital , June 2013 , Phase 2 , Active, not recruiting\,,,
 Parkinson's Disease , SPM 962 , Otsuka Pharmaceutical Co., Ltd. , Phase 2 , Active, not recruiting\,,,
 Idiopathic Parkinson's Disease , piribedil , Desitin Arzneimittel GmbH ,20-Jan-10, January 2005 , Phase 2 , Completed\,,,
 Parkinson Disease , Ropinirole prolonged release/extended release(PR/XR) , GlaxoSmithKline ,20-Apr-07, Phase 3 , Completed\,,,,
 Gaucher Disease , Taliglucerase alfa , Protalix ,20-Sep-11, Phase 2 , Completed\,,,,
 Parkinson Disease , Ropinirole , GlaxoSmithKline , June 2003 , Phase 3 , Completed\,,,,
 Peripheral Arterial Disease , Flaxseed , Dr. Grant Pierce ,20-Oct-08, Phase 3 , Completed\,,,,
 Parkinson Disease , Traditional Chinese Medicinal Mixture (composed of Roucongrong and adjuvant) , Fudan University ,20-Nov-08, Phase 2 , Active, not recruiting\,,,
 Alzheimer Disease , Cerebrolysin + donepezil , Ever Neuro Pharma GmbH ,20-Oct-04, Phase 2 , Unknown status\,,,,
 Celiac Disease , Larazotide acetate (AT1001) , Alba Therapeutics ,20-Apr-09, Phase 2 , Completed\,,,,
 Parkinson's Disease , Entacapone , Novartis ,20-Feb-03, Phase 2 , Completed\,,,,
 Chronic Kidney Disease , GCS-100 , La Jolla Pharmaceutical Company , June 2013 , Phase 2 , Completed\,,,,
 Alzheimer's Disease , 3APS , Bellus Health Inc ,20-Sep-05, Phase 2 , Completed\,,,,
 Peripheral Artery Disease , Ticagrelor , AstraZeneca ,20-Dec-12, Phase 3 , Unknown status\,,,,
 Crohn Disease , Infliximab 10 mg/kg , Centocor, Inc. , Phase 3 , Completed\,,,,
 Alzheimer's Disease , LY450139 , Eli Lilly and Company ,20-Mar-08, May 1996 , Phase 3 , Completed\,,,
 Chronic Graft-versus-host Disease , Rituximab , Northside Hospital, Inc. , Phase 3 , Completed\,,,,
 Inflammatory Bowel Disease , MT-1303 , Mitsubishi Tanabe Pharma Corporation , June 2012 , April 2011 , Phase 2 , Completed\,,,
 Kashin-Beck Disease , Biological Antioxidant Supplementation , Innovative Humanitarian Solutions , July 2007 , Phase 1 , Completed\,,,,
 Alzheimer's Disease , Razadyne ER , Duke University ,20-Oct-06, Phase 2 , Unknown status\,,,,
 Alzheimer's Disease , galantamine , Johnson & Johnson Pharmaceutical Research & Development, L.L.C. , Phase 4 , Terminated\,,,,
 Coronary Disease , Everolimus-eluting stent (Xience) , Deutsches Herzzentrum Muenchen ,20-Dec-07, March 31,2006, Phase 3 , Completed\,,
 Alzheimer's Disease , Rivastigmine 5 and 10 cm^2 patch , Novartis ,20-Nov-07, Phase 4 , Completed\,,,,
 Mitochondrial Diseases , EPI-743 , Edison Pharmaceuticals Inc ,20-Feb-10, Phase 4 , Completed\,,,,
 Parkinson's Disease , Carbidopa-Levodopa , Oregon Health and Science University ,20-Aug-08, Phase 2 , Active, not recruiting\,,,
 Parkinson's Disease , Lokomat\'ae , Azienda Ospedaliero Universitaria Maggiore della Carita ,20-Oct-10, Phase 2 , Completed\,,,,
 Parkinson's Disease , KW-6002 (istradefylline) , Kyowa Kirin Pharmaceutical Development, Inc. , Phase 2 , Unknown status\,,,,
 Parkinson's Disease , Amantadine , Northwestern University , June 2011 , April 2002 , Phase 2 , Completed\,,,
 Crohn's Disease ,683699, GlaxoSmithKline ,20-Oct-04, Phase 3 , Terminated\,,,,
 Spondyloarthritis , Adalimumab , University of Alberta , July 2009 , Phase 2 , Completed\,,,,
 Alzheimer's Disease , Galantamine (Reminyl\'ae) , Ludwig-Maximilians - University of Munich ,20-Sep-06, Phase 4 , Withdrawn\,,,,
 Parkinson's Disease , Cogane\'99 (PYM50028) , Phytopharm ,20-Apr-09, Phase 4 , Unknown status\,,,,
 Parkinson's Disease , Rasagiline , University of Florida ,20-Dec-09, Phase 1 , Completed\,,,,
 Gastroesophageal Reflux , Esomeprazole , AstraZeneca ,20-Apr-05, Phase 4 , Completed\,,,,
 Crohn's Disease , Certolizumab Pegol , UCB Celltech ,20-Apr-09, Phase 3 , Completed\,,,,
 Cardiovascular Disease , exercise aerobic , Federal University of Pelotas ,20-Sep-11, Phase 2 , Terminated\,,,,
 Sickle Cell Disease , Omega-3 Fatty Acids: Eicosapentaenoic Acid (EPA) and Docosahexaenoic Acid (DHA) , Thomas Jefferson University ,20-Oct-10, Phase 4 , Enrolling by invitation\,,,,
 Raynaud's Disease , SLx-2101 , Kadmon Corporation, LLC , Phase 2 , Unknown status\,,,,
 Alzheimer's Disease , Rosiglitazone XR (extended release) oral tablets , GlaxoSmithKline ,20-Dec-04, June 2007 , Phase 2 , Completed\,,,
 Coronary Artery Disease , E5555 , Eisai Inc. ,20-Sep-07, Phase 2 , Terminated\,,,,
 Alzheimer's Disease , Cognitive Training , University of Kansas ,20-Feb-08, Phase 2 , Completed\,,,,
 Thyroid Eye Disease , Prostaglandin Analog , Stanford University ,20-Aug-13, Phase 2 , Completed\,,,,
 Inflammation , NNC0114-0006 , Novo Nordisk A/S ,20-Feb-13, Phase 4 , Unknown status\,,,,
 Huntington's Disease , Minocycline , FDA Office of Orphan Products Development ,20-Sep-01, Phase 2 , Completed\,,,,
 Age Related Macular Degeneration , ziv-aflibercept drug , Rafic Hariri University Hospital , June 2014 , Phase 1 , Completed\,,,,
 Chronic Kidney Disease. , Paracalcitol ," Fondazione C.N.R./Regione Toscana ""G. Monasterio""", Pisa, Phase 1 , Unknown status\,,,,
 End Stage Renal Disease , Aliskiren , Novartis , June 2010 , Italy , June 2011 , Phase 3 , Completed\,,
 Gastroesophageal Reflux Disease , E3810 , Eisai Co., Ltd. , Phase 1 , Completed\,,,,
 Coronary Artery Disease , Everolimus Eluting Stent or Zotalolimus Eluting Stent , Yonsei University ,20-Aug-10, September 2013 , Phase 3 , Completed\,,,
 Chronic Obstructive Pulmonary Disease , GS-5745 , Gilead Sciences ,20-Mar-14, Phase 4 , Unknown status\,,,,
 Idiopathic Parkinson's Disease , Rotigotine , UCB Pharma , July 2012 , Phase 1 , Completed\,,,,
 Alzheimer's Disease , rosiglitazone , GlaxoSmithKline , June 2006 , Phase 3 , Completed\,,,,
 Parkinson's Disease , ParkNet , Radboud University ,20-May-06, Phase 2 , Completed\,,,,
 Celiac Disease , AT-1001 , Alba Therapeutics ,20-Jan-06, Phase 3 , Completed\,,,,
 Huntington's Disease , Stimulation , Heinrich-Heine University, Duesseldorf , Phase 1 , Completed\,,,,
 Graves Disease , Potassium Iodide , University of Massachusetts, Worcester , May 2009 , Phase 1 , Completed\,,,
 Diabetic Kidney Disease , GS-4997 , Gilead Sciences , June 2014 , April 2005 , Phase 4 , Completed\,,,
 Parkinson's Disease , Donepezil , Oregon Health and Science University ,20-Dec-11, Phase 2 , Completed\,,,,
 Alzheimer's Disease , ASP0777 , Astellas Pharma Inc , June 2011 , Phase 4 , Unknown status\,,,,
 Alzheimer's Disease , Rivastigmine Transdermal Patch , Novartis ,20-Feb-03, Phase 1 , Completed\,,,,
 Cardiovascular Diseases , PolyPill , Tehran University of Medical Sciences ,20-Feb-11, Phase 3 , Completed\,,,,
 HEMOGLOBIN SC DISEASE , Mg Pidolate , Baylor College of Medicine ,20-Jan-01, Phase 3 , Active, not recruiting\,,,
 Autosomal Dominant Polycystic Kidney Disease , Tolvaptan (OPC-41061) , Otsuka Pharmaceutical Development & Commercialization, Inc. , Phase 2 , Terminated\,,,,
 Crohn's Disease , adalimumab , Abbott ,20-Dec-06, September 2014 , Phase 3 , Enrolling by invitation\,,,
 HIV Infections , Vinblastine sulfate , National Institute of Allergy and Infectious Diseases (NIAID) ,2-Nov, Phase 3 , Completed\,,,,
 Alzheimer's Disease , florbetapir 18F , Avid Radiopharmaceuticals ,20-Sep-09,1999, Phase 2 , Completed\,,,
 Allergic Conditions , Lactobacillus reuteri , Linkoeping University ,20-Feb-01, Phase 2 , Completed\,,,,
 Pulmonary Disease, Chronic Obstructive , Comparison of two different modes for weaning from mechanical ventilation , Izmir Dr Suat Seren Chest Diseases and Surgery Education and Research Hospital , Phase 2 , Completed\,,,,
 Alzheimer's Disease , Ketasyn\'99 (AC-1202) , Accera, Inc. , April 2007 , Phase 4 , Completed\,,,
 Alzheimer's Disease , Drug: EVP-6124 , FORUM Pharmaceuticals Inc ,20-Oct-13, October 2004 , Phase 2 , Completed\,,,
 Alzheimer's Disease , Drug: EVP-6124 , FORUM Pharmaceuticals Inc ,20-Oct-13, Phase 3 , Terminated\,,,,
 Stem Cell Transplantation , Cyclophosphamide Dose Level 1 , Children's Hospital Los Angeles ,20-Feb-07, Phase 3 , Terminated\,,,,
